TABLE_NAME|COLUMN_NAME|DATA_TYPE|CHARACTER_MAXIMUM_LENGTH|NUMERIC_PRECISION|NUMERIC_SCALE|IS_NULLABLE|COLUMN_DEFAULT|ORDINAL_POSITION
tblSize|DisplayOrder|smallint|NULL|5|0|NO|((0))|4
tblSize|SizeGroupID|tinyint|NULL|3|0|NO|((0))|5
tblStation|ID|smallint|NULL|5|0|NO|NULL|1
tblStation|StationName|varchar|30|NULL|NULL|NO|NULL|2
tblStation|Status|bit|NULL|NULL|NULL|NO|((1))|3
tblStation|LastClosingTime|datetime|NULL|NULL|NULL|YES|NULL|4
tblStation|KitchenDisplay|bit|NULL|NULL|NULL|NO|((0))|5
tblStation|Locked|bit|NULL|NULL|NULL|NO|((0))|6
tblStore|ID|smallint|NULL|5|0|NO|NULL|1
tblStore|StoreName|varchar|50|NULL|NULL|NO|NULL|2
tblStore|StoreCode|varchar|20|NULL|NULL|NO|NULL|3
tblStore|Status|bit|NULL|NULL|NULL|NO|((1))|4
tblStore|MerchantNumber|varchar|20|NULL|NULL|YES|NULL|5
tblStore|LinkedServerName|varchar|100|NULL|NULL|YES|NULL|6
tblTable|ID|smallint|NULL|5|0|NO|NULL|1
tblTable|OrderNum|int|NULL|10|0|NO|NULL|2
tblTable|Linked|bit|NULL|NULL|NULL|NO|NULL|3
tblTable|TimeIn|smalldatetime|NULL|NULL|NULL|NO|NULL|4
tblTable|ServerID|smallint|NULL|5|0|NO|NULL|5
tblTable|NumOfGuests|tinyint|NULL|3|0|NO|NULL|6
tblTable|Opened|bit|NULL|NULL|NULL|NO|NULL|7
tblTable|TableName|varchar|50|NULL|NULL|YES|NULL|8
tblTable|PickupTime|varchar|8|NULL|NULL|NO|NULL|9
tblTable|PhoneNum|varchar|10|NULL|NULL|NO|NULL|10
tblTable|PickupPerson|varchar|20|NULL|NULL|NO|NULL|11
tblTable|TakeOut|bit|NULL|NULL|NULL|NO|NULL|12
tblTable|BillPrinted|bit|NULL|NULL|NULL|NO|NULL|13
tblTable|Attention|bit|NULL|NULL|NULL|NO|((0))|14
tblTable|DailyOrdNum|int|NULL|10|0|NO|((0))|15
tblTable|BellNumber|smallint|NULL|5|0|NO|((0))|16
tblTable|CallType|tinyint|NULL|3|0|NO|((255))|17
tblTable|Delivery|bit|NULL|NULL|NULL|NO|((0))|18
tblTable|Online|bit|NULL|NULL|NULL|NO|((0))|19
tblTable|StayOn|bit|NULL|NULL|NULL|NO|((0))|20
tblTable|PickupDate|smalldatetime|NULL|NULL|NULL|YES|NULL|21
tblTable|TotalAmt|smallmoney|NULL|10|4|NO|((0))|22
tblTable|ApplySpecialPricing|bit|NULL|NULL|NULL|NO|((0))|23
tblTable|SpecialPricingRate|smallint|NULL|5|0|NO|((0))|24
tblTable|StationID|smallint|NULL|5|0|NO|((0))|25
tblTable|StationIDInUse|smallint|NULL|5|0|NO|((0))|26
tblTable|OnlineOrderCompanyID|smallint|NULL|5|0|NO|((0))|27
tblTable|AccessPermissionRequired|bit|NULL|NULL|NULL|NO|((0))|28
tblTable|AppliedUnitPriceType|tinyint|NULL|3|0|NO|((1))|29
tblTable|OnlineOrderNumber|varchar|20|NULL|NULL|NO|('')|30
tblTable|BillPrintedDateTime|smalldatetime|NULL|NULL|NULL|YES|NULL|31
tblUser|ID|smallint|NULL|5|0|NO|NULL|1
tblUser|UserAccessCode|varchar|15|NULL|NULL|NO|((0))|2
tblUser|LName|varchar|30|NULL|NULL|NO|NULL|3
tblUser|FName|varchar|30|NULL|NULL|NO|NULL|4
tblUser|GroupID|tinyint|NULL|3|0|NO|((3))|5
tblUser|Status|bit|NULL|NULL|NULL|NO|((1))|6
tblUser|Address|varchar|255|NULL|NULL|YES|NULL|7
tblUser|Wage|smallmoney|NULL|10|4|YES|NULL|8
tblUser|Memo|varchar|255|NULL|NULL|YES|NULL|9
tblUser|LastClosingTime|datetime|NULL|NULL|NULL|YES|NULL|10
tblUser|TipOutPercentage|float|NULL|53|NULL|YES|NULL|11
tblUser|SystemUser|bit|NULL|NULL|NULL|NO|((1))|12
tblUser|AccessPermission|bit|NULL|NULL|NULL|NO|((0))|13

(329 rows affected)
